번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
118,23826,손바닥이 위로 향하게 편 왼 손바닥에 오른손의 손가락을 구부려 끝을 대고 두 손을 동시에 밖으로 내밀면서 오른손을 주먹쥔다.,가져가다,,일상생활 수어 > 사회생활 > 사회 활동
119,23825,두 주먹의 4지를 펴서 등이 밖으로 향하게 하여 끝을 상하로 맞댔다가 뗀다.,"가느다랗다,가냘프다,가늘다",,일상생활 수어 > 개념 > 모양
120,13016,오른 주먹의 1·2지를 펴서 끝이 아래로 향하게 하여 모로 세운 왼손에 넣었다가 빼면서 위로 올린다.,"(나체의)맨몸,나체,알몸",,일상생활 수어 > 기타
121,13014,손바닥이 위로 향하게 약간 구부린 오른손을 오른쪽에서 왼쪽으로 이동한다.,넘어오다,,일상생활 수어 > 기타
122,22448,"두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 좌우로 두 번 약간 돌리며 벌리고, 오른 주먹의 1지를 펴서 끝을 오른쪽 관자놀이에 댔다가 손바닥이 위로 향하게 편 왼 손바닥에 오른손을 모로 세워 대고 밖으로 내밀고, 1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",국민 발안제,국민+발안제(제안+제도),전문용어 수어 > 정치
123,22467,"두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든 다음, 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등에, 손바닥이 밖으로 손끝이 위로 향하게 편 오른 손등을 댔다가 밖으로 내밀고, 손끝이 오른쪽으로 향하게 모로 세운 왼손의 1·5지 중간에 오른손을 4지 옆면이 닿게 세운 다음, 손바닥이 위로 향하게 편 왼 손바닥에 오른 주먹의 1·2지를 펴서 끝을 대고 세운다.",국외 중립,국외+중립,전문용어 수어 > 정치
124,22443,"두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔들고, 주먹을 쥐고 반쯤 굽힌 왼팔의 위쪽에 오른손의 5지 옆면을 댔다가 반원을 그리며 내려 팔꿈치 위쪽에 4지 옆면이 닿게 한 다음, 오른 주먹을 쥐고 팔을 구부려 당긴다.",국권,국가+권력,전문용어 수어 > 정치
125,22382,"두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든 다음, 손바닥이 위로 향하게 편 두 손을 양옆으로 붙였다 벌리는 동작을 두 번 반복하고, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌리고, 왼 손바닥을 목 왼쪽에 댔다가 밖으로 내밀며 주먹을 쥐고 5지를 펴서 세운 다음, 그 밑에서 5지를 펴서 세운 오른 주먹을 왼쪽으로 한 바퀴 돌린다.",관료 내각,관료[관리(官吏)]+내각,전문용어 수어 > 정치
126,22395,"오른 주먹의 1지를 펴서 세워 입술에 댔다가 밖으로 약간 올리며 내민 다음, 반쯤 구부린 오른손을 손끝이 위로 향하게 하여, 손바닥이 위로 향하게 편 왼 손바닥에 두 번 댔다 떼고, 주먹을 쥐고 반쯤 굽힌 왼팔의 위쪽에 오른손의 5지 옆면을 댔다가 반원을 그리며 내려 팔꿈치 위쪽에 4지 옆면이 닿게 한다.",교서권,교서+권리,전문용어 수어 > 정치
127,22285,"두 손의 손끝을 맞대어 좌우로 비스듬히 세운 다음, 왼손은 그대로 두고, 오른손은 주먹을 쥐고 4·5지를 펴서 세워 손목을 좌우로 약간 흔들며 오른쪽으로 약간 이동하고, 오른 주먹의 1지를 펴서 입 주위를 한 바퀴 돌린 다음, 손바닥이 왼쪽으로 향하게 펴서 세운 오른 팔꿈치를 왼 손바닥으로 받치고 전후로 두 번 흔든다.",가족설,가족+-설(입+이야기),전문용어 수어 > 정치
